####
Results
p_inf, p_transfer, p_rec, p_stay, p_die, cost
####


0.010101010101010102, 0.0, 0.0, 0.9999245995580968, 7.540044190323758e-05, 61039.91105825761
0.010101010101010102, 0.0, 0.010101010101010102, 0.9898235894570867, 7.540044190323758e-05, 61049.20467950422
0.010101010101010102, 0.0, 0.020202020202020204, 0.9797225793560765, 7.540044190323758e-05, 61060.50950491652
0.010101010101010102, 0.0, 0.030303030303030304, 0.9696215692550665, 7.540044190323758e-05, 61069.56229579511
0.010101010101010102, 0.0, 0.04040404040404041, 0.9595205591540563, 7.540044190323758e-05, 61082.28007368422
0.010101010101010102, 0.0, 0.05050505050505051, 0.9494195490530463, 7.540044190323758e-05, 61088.51797187422
0.010101010101010102, 0.0, 0.06060606060606061, 0.9393185389520362, 7.540044190323758e-05, 61094.05660946079
0.010101010101010102, 0.0, 0.07070707070707072, 0.929217528851026, 7.540044190323758e-05, 61099.31379320066
0.010101010101010102, 0.0, 0.08080808080808081, 0.919116518750016, 7.540044190323758e-05, 61105.39219250622
0.010101010101010102, 0.0, 0.09090909090909091, 0.9090155086490058, 7.540044190323758e-05, 61115.80628609918
0.010101010101010102, 0.0, 0.10101010101010102, 0.8989144985479958, 7.540044190323758e-05, 61119.02427231639
0.010101010101010102, 0.0, 0.11111111111111112, 0.8888134884469856, 7.540044190323758e-05, 61118.601227449566
0.010101010101010102, 0.0, 0.12121212121212122, 0.8787124783459755, 7.540044190323758e-05, 61124.01912505427
0.010101010101010102, 0.0, 0.13131313131313133, 0.8686114682449655, 7.540044190323758e-05, 61128.75906641652
0.010101010101010102, 0.0, 0.14141414141414144, 0.8585104581439553, 7.540044190323758e-05, 61128.423094334765
0.010101010101010102, 0.0, 0.15151515151515152, 0.8484094480429453, 7.540044190323758e-05, 61132.86060704177
0.010101010101010102, 0.0, 0.16161616161616163, 0.8383084379419351, 7.540044190323758e-05, 61135.588498026256
0.010101010101010102, 0.0, 0.17171717171717174, 0.828207427840925, 7.540044190323758e-05, 61137.8698680286
0.010101010101010102, 0.0, 0.18181818181818182, 0.8181064177399149, 7.540044190323758e-05, 61138.740189833814
0.010101010101010102, 0.0, 0.19191919191919193, 0.8080054076389048, 7.540044190323758e-05, 61141.64664939929
0.010101010101010102, 0.0, 0.20202020202020204, 0.7979043975378948, 7.540044190323758e-05, 61141.43687385831
0.010101010101010102, 0.0, 0.21212121212121213, 0.7878033874368846, 7.540044190323758e-05, 61146.098011238624
0.010101010101010102, 0.0, 0.22222222222222224, 0.7777023773358746, 7.540044190323758e-05, 61144.680659890604
0.010101010101010102, 0.0, 0.23232323232323235, 0.7676013672348644, 7.540044190323758e-05, 61147.73312233251
0.010101010101010102, 0.0, 0.24242424242424243, 0.7575003571338543, 7.540044190323758e-05, 61148.43998827771
0.010101010101010102, 0.0, 0.25252525252525254, 0.7473993470328442, 7.540044190323758e-05, 61149.919182285106
0.010101010101010102, 0.0, 0.26262626262626265, 0.7372983369318341, 7.540044190323758e-05, 61154.67755617717
0.010101010101010102, 0.0, 0.27272727272727276, 0.727197326830824, 7.540044190323758e-05, 61153.93813157089
