ORIGIN_STATE_NM,DEST_STATE_NM,PASSENGERS
Alabama,Alabama,160.0
Alabama,Arizona,59.0
Alabama,Arkansas,6.0
Alabama,California,131.0
Alabama,Colorado,953.0
Alabama,Connecticut,13.0
Alabama,Florida,4182.0
Alabama,Georgia,18556.0
Alabama,Illinois,3418.0
Alabama,Kansas,1.0
Alabama,Kentucky,20.0
Alabama,Louisiana,64.0
Alabama,Maryland,2041.0
Alabama,Massachusetts,1.0
Alabama,Michigan,1465.0
Alabama,Minnesota,535.0
Alabama,Mississippi,62.0
Alabama,Missouri,833.0
Alabama,Nebraska,1.0
Alabama,Nevada,1082.0
Alabama,New Hampshire,18.0
Alabama,New Jersey,2.0
Alabama,New Mexico,22.0
Alabama,New York,468.0
Alabama,North Carolina,6983.0
Alabama,Ohio,3.0
Alabama,Oklahoma,24.0
Alabama,Oregon,4.0
Alabama,Pennsylvania,258.0
Alabama,Puerto Rico,21.0
Alabama,Rhode Island,9.0
Alabama,South Carolina,5.0
Alabama,Tennessee,87.0
Alabama,Texas,12745.0
Alabama,Virginia,2218.0
Alabama,Washington,3.0
Alabama,Wisconsin,20.0
Alaska,Alaska,29971.0
Alaska,Arizona,1367.0
Alaska,California,959.0
Alaska,Colorado,1197.0
Alaska,Florida,1.0
Alaska,Hawaii,1575.0
Alaska,Illinois,1959.0
Alaska,Massachusetts,1.0
Alaska,Minnesota,2295.0
Alaska,Nebraska,2.0
Alaska,Nevada,101.0
Alaska,New York,1.0
Alaska,Ohio,1.0
Alaska,Oregon,3302.0
Alaska,Pennsylvania,1.0
Alaska,Texas,510.0
Alaska,Utah,378.0
Alaska,Virginia,4.0
Alaska,Washington,21050.0
Arizona,Alabama,24.0
Arizona,Alaska,1409.0
Arizona,Arizona,16556.0
Arizona,Arkansas,1011.0
Arizona,California,126503.0
Arizona,Colorado,33035.0
Arizona,Connecticut,5.0
Arizona,Florida,12624.0
Arizona,Georgia,16706.0
Arizona,Hawaii,10479.0
Arizona,Idaho,3535.0
Arizona,Illinois,28858.0
Arizona,Indiana,4755.0
Arizona,Iowa,2118.0
Arizona,Kansas,680.0
Arizona,Kentucky,1090.0
Arizona,Louisiana,1058.0
Arizona,Maryland,5606.0
Arizona,Massachusetts,4775.0
Arizona,Michigan,9209.0
Arizona,Minnesota,17974.0
Arizona,Missouri,11733.0
Arizona,Montana,1796.0
Arizona,Nebraska,4367.0
