ORIGIN_STATE_NM,DEST_STATE_NM,PASSENGERS
Alabama,Alabama,173.0
Alabama,Arizona,507.0
Alabama,Arkansas,3.0
Alabama,California,178.0
Alabama,Colorado,1221.0
Alabama,Connecticut,11.0
Alabama,Florida,5193.0
Alabama,Georgia,17855.0
Alabama,Illinois,2962.0
Alabama,Indiana,1.0
Alabama,Kentucky,897.0
Alabama,Louisiana,1132.0
Alabama,Maryland,3662.0
Alabama,Massachusetts,17.0
Alabama,Michigan,1449.0
Alabama,Minnesota,435.0
Alabama,Mississippi,48.0
Alabama,Missouri,927.0
Alabama,Nevada,1035.0
Alabama,New Hampshire,24.0
Alabama,New Jersey,2.0
Alabama,New Mexico,4.0
Alabama,New York,622.0
Alabama,North Carolina,7046.0
Alabama,Ohio,20.0
Alabama,Oklahoma,6.0
Alabama,Oregon,1.0
Alabama,Pennsylvania,312.0
Alabama,Rhode Island,8.0
Alabama,South Carolina,15.0
Alabama,South Dakota,3.0
Alabama,Tennessee,3343.0
Alabama,Texas,12469.0
Alabama,Utah,17.0
Alabama,Vermont,7.0
Alabama,Virginia,1273.0
Alabama,Washington,1.0
Alabama,Wisconsin,1.0
Alaska,Alaska,28356.0
Alaska,Arizona,1315.0
Alaska,California,85.0
Alaska,Colorado,296.0
Alaska,Georgia,2.0
Alaska,Hawaii,1768.0
Alaska,Idaho,1.0
Alaska,Illinois,1202.0
Alaska,Michigan,22.0
Alaska,Minnesota,1898.0
Alaska,Nevada,1.0
Alaska,New Jersey,144.0
Alaska,Oregon,2234.0
Alaska,Texas,644.0
Alaska,Utah,1479.0
Alaska,Washington,21940.0
Arizona,Alabama,510.0
Arizona,Alaska,1326.0
Arizona,Arizona,17029.0
Arizona,Arkansas,1017.0
Arizona,California,127395.0
Arizona,Colorado,30960.0
Arizona,Connecticut,12.0
Arizona,Florida,13132.0
Arizona,Georgia,16325.0
Arizona,Hawaii,10016.0
Arizona,Idaho,3299.0
Arizona,Illinois,26110.0
Arizona,Indiana,4589.0
Arizona,Iowa,1753.0
Arizona,Kansas,404.0
Arizona,Kentucky,1973.0
Arizona,Louisiana,1033.0
Arizona,Maryland,5910.0
Arizona,Massachusetts,5678.0
Arizona,Michigan,9900.0
Arizona,Minnesota,16628.0
Arizona,Mississippi,73.0
Arizona,Missouri,11966.0
Arizona,Montana,1465.0
Arizona,Nebraska,4121.0
Arizona,Nevada,28150.0
Arizona,New Hampshire,254.0
Arizona,New Jersey,9370.0
Arizona,New Mexico,9898.0
Arizona,New York,7845.0
Arizona,North Carolina,12733.0
Arizona,North Dakota,1559.0
Arizona,Ohio,5369.0
Arizona,Oklahoma,3528.0
Arizona,Oregon,10978.0
Arizona,Pennsylvania,13345.0
Arizona,Rhode Island,1099.0
Arizona,South Carolina,5.0
Arizona,South Dakota,998.0
Arizona,Tennessee,3214.0
Arizona,Texas,56036.0
Arizona,Utah,15207.0
Arizona,Virginia,4967.0
Arizona,Washington,19719.0
Arizona,Wisconsin,5400.0
Arizona,Wyoming,8.0
Arkansas,Alabama,3.0
Arkansas,Arizona,897.0
Arkansas,Arkansas,93.0
Arkansas,California,527.0
Arkansas,Colorado,1509.0
Arkansas,Florida,362.0
Arkansas,Georgia,5648.0
Arkansas,Illinois,5138.0
Arkansas,Iowa,2.0
Arkansas,Kansas,1.0
Arkansas,Kentucky,350.0
Arkansas,Louisiana,21.0
Arkansas,Maryland,604.0
Arkansas,Michigan,804.0
Arkansas,Minnesota,412.0
Arkansas,Mississippi,1.0
Arkansas,Missouri,1334.0
Arkansas,Nebraska,7.0
Arkansas,Nevada,1386.0
Arkansas,New Hampshire,1.0
Arkansas,New Jersey,500.0
Arkansas,New Mexico,14.0
Arkansas,New York,364.0
Arkansas,North Carolina,2700.0
Arkansas,Ohio,9.0
Arkansas,Oklahoma,43.0
Arkansas,Pennsylvania,10.0
Arkansas,South Carolina,3.0
Arkansas,Tennessee,3241.0
Arkansas,Texas,15873.0
Arkansas,Utah,1.0
Arkansas,Vermont,1.0
Arkansas,Virginia,1.0
Arkansas,Wisconsin,1.0
California,Alabama,163.0
