ORIGIN_STATE_NM,DEST_STATE_NM,PASSENGERS
Alabama,Alabama,107.0
Alabama,Arizona,1.0
Alabama,Arkansas,5.0
Alabama,California,32.0
Alabama,Colorado,1083.0
Alabama,Connecticut,9.0
Alabama,Florida,3055.0
Alabama,Georgia,19054.0
Alabama,Idaho,2.0
Alabama,Illinois,4094.0
Alabama,Indiana,4.0
Alabama,Kansas,1.0
Alabama,Kentucky,8.0
Alabama,Louisiana,47.0
Alabama,Maine,2.0
Alabama,Maryland,917.0
Alabama,Massachusetts,1.0
Alabama,Michigan,1416.0
Alabama,Minnesota,1.0
Alabama,Mississippi,38.0
Alabama,Missouri,90.0
Alabama,Nevada,1078.0
Alabama,New Jersey,1.0
Alabama,New Mexico,3.0
Alabama,New York,525.0
Alabama,North Carolina,6224.0
Alabama,Ohio,16.0
Alabama,Oklahoma,2.0
Alabama,Oregon,4.0
Alabama,Pennsylvania,444.0
Alabama,Rhode Island,3.0
Alabama,South Carolina,7.0
Alabama,Tennessee,94.0
Alabama,Texas,11455.0
Alabama,Virginia,2073.0
Alabama,Washington,34.0
Alabama,West Virginia,1.0
Alabama,Wisconsin,4.0
Alaska,Alaska,40026.0
Alaska,Arizona,643.0
Alaska,California,3483.0
Alaska,Colorado,1728.0
Alaska,Georgia,1276.0
Alaska,Hawaii,1010.0
Alaska,Idaho,1.0
Alaska,Illinois,3951.0
Alaska,Minnesota,5460.0
Alaska,Montana,2.0
Alaska,Nevada,1.0
Alaska,New Jersey,116.0
Alaska,New York,7.0
Alaska,Oregon,4483.0
Alaska,Texas,2136.0
Alaska,Utah,340.0
Alaska,Virginia,2.0
Alaska,Washington,50156.0
Arizona,Alabama,46.0
Arizona,Alaska,612.0
Arizona,Arizona,15752.0
Arizona,Arkansas,1130.0
Arizona,California,123864.0
Arizona,Colorado,29117.0
Arizona,Connecticut,8.0
Arizona,Florida,12039.0
Arizona,Georgia,14013.0
Arizona,Hawaii,9993.0
Arizona,Idaho,3386.0
Arizona,Illinois,30920.0
Arizona,Indiana,4130.0
Arizona,Iowa,2596.0
Arizona,Kansas,1492.0
Arizona,Kentucky,3231.0
Arizona,Louisiana,1076.0
Arizona,Maine,1.0
Arizona,Maryland,5977.0
Arizona,Massachusetts,5746.0
Arizona,Michigan,9964.0
Arizona,Minnesota,13331.0
Arizona,Missouri,10927.0
Arizona,Montana,1358.0
Arizona,Nebraska,3672.0
Arizona,Nevada,22477.0
Arizona,New Hampshire,8.0
Arizona,New Jersey,7791.0
Arizona,New Mexico,8791.0
