ORIGIN_STATE_NM,DEST_STATE_NM,PASSENGERS
Alabama,Alabama,135.0
Alabama,Arizona,1.0
Alabama,Arkansas,1.0
Alabama,California,25.0
Alabama,Colorado,835.0
Alabama,Connecticut,1.0
Alabama,Florida,3734.0
Alabama,Georgia,18179.0
Alabama,Illinois,2987.0
Alabama,Indiana,1.0
Alabama,Kansas,1.0
Alabama,Kentucky,2.0
Alabama,Louisiana,38.0
Alabama,Maryland,713.0
Alabama,Massachusetts,6.0
Alabama,Michigan,1064.0
Alabama,Minnesota,1.0
Alabama,Mississippi,34.0
Alabama,Missouri,11.0
Alabama,Nevada,976.0
Alabama,New Hampshire,2.0
Alabama,New York,496.0
Alabama,North Carolina,6060.0
Alabama,Ohio,1.0
Alabama,Oklahoma,26.0
Alabama,Pennsylvania,414.0
Alabama,Rhode Island,2.0
Alabama,South Carolina,9.0
Alabama,Tennessee,77.0
Alabama,Texas,12200.0
Alabama,Utah,13.0
Alabama,Virginia,1670.0
Alaska,Alaska,30257.0
Alaska,Arizona,623.0
Alaska,California,943.0
Alaska,Colorado,967.0
Alaska,Hawaii,2139.0
Alaska,Illinois,459.0
Alaska,Minnesota,1278.0
Alaska,Nevada,72.0
Alaska,Oregon,2453.0
Alaska,Texas,100.0
Alaska,Utah,2.0
Alaska,Washington,25022.0
Arizona,Alabama,18.0
Arizona,Alaska,603.0
Arizona,Arizona,15547.0
Arizona,Arkansas,415.0
Arizona,California,128297.0
Arizona,Colorado,36724.0
Arizona,Connecticut,21.0
Arizona,Florida,17927.0
Arizona,Georgia,15750.0
Arizona,Hawaii,9698.0
Arizona,Idaho,3663.0
Arizona,Illinois,35506.0
Arizona,Indiana,5211.0
Arizona,Iowa,4491.0
Arizona,Kansas,1463.0
Arizona,Kentucky,2915.0
Arizona,Louisiana,1474.0
Arizona,Maine,1.0
Arizona,Maryland,5735.0
Arizona,Massachusetts,6216.0
Arizona,Michigan,9838.0
Arizona,Minnesota,23733.0
Arizona,Mississippi,2.0
Arizona,Missouri,13938.0
Arizona,Montana,1825.0
Arizona,Nebraska,6286.0
Arizona,Nevada,25267.0
Arizona,New Hampshire,6.0
Arizona,New Jersey,8115.0
Arizona,New Mexico,8347.0
Arizona,New York,9414.0
Arizona,North Carolina,12760.0
Arizona,North Dakota,3029.0
Arizona,Ohio,6482.0
Arizona,Oklahoma,3293.0
Arizona,Oregon,13047.0
Arizona,Pennsylvania,12028.0
Arizona,Puerto Rico,39.0
Arizona,Rhode Island,14.0
Arizona,South Carolina,6.0
Arizona,South Dakota,2241.0
Arizona,Tennessee,4216.0
Arizona,Texas,62861.0
Arizona,Utah,17698.0
Arizona,Virginia,5246.0
Arizona,Washington,25019.0
Arizona,Wisconsin,7008.0
Arizona,Wyoming,1.0
Arkansas,Alabama,7.0
Arkansas,Arizona,327.0
Arkansas,Arkansas,85.0
Arkansas,California,806.0
Arkansas,Colorado,1535.0
Arkansas,Florida,742.0
Arkansas,Georgia,7908.0
Arkansas,Illinois,3207.0
Arkansas,Kansas,4.0
Arkansas,Kentucky,167.0
Arkansas,Louisiana,11.0
Arkansas,Maryland,16.0
Arkansas,Massachusetts,10.0
Arkansas,Michigan,122.0
Arkansas,Minnesota,550.0
Arkansas,Mississippi,4.0
Arkansas,Missouri,1514.0
Arkansas,Nevada,1362.0
Arkansas,New Jersey,343.0
Arkansas,New Mexico,1.0
Arkansas,New York,865.0
Arkansas,North Carolina,2614.0
Arkansas,Ohio,1.0
Arkansas,Oklahoma,33.0
Arkansas,Oregon,1.0
Arkansas,Pennsylvania,4.0
Arkansas,South Carolina,2.0
Arkansas,South Dakota,1.0
Arkansas,Tennessee,78.0
Arkansas,Texas,13531.0
Arkansas,Virginia,313.0
Arkansas,Washington,4.0
Arkansas,Wisconsin,2.0
California,Alabama,45.0
California,Alaska,906.0
California,Arizona,126150.0
California,Arkansas,927.0
California,California,556208.0
California,Colorado,110893.0
California,Connecticut,559.0
California,Florida,55035.0
California,Georgia,54633.0
California,Hawaii,91770.0
California,Idaho,9452.0
California,Illinois,91110.0
California,Indiana,4685.0
California,Iowa,2.0
California,Kansas,42.0
California,Kentucky,4103.0
California,Louisiana,12625.0
California,Maine,12.0
California,Maryland,17013.0
California,Massachusetts,32262.0
California,Michigan,17352.0
California,Minnesota,32560.0
California,Missouri,20492.0
California,Montana,877.0
California,Nebraska,1744.0
California,Nevada,136402.0
California,New Hampshire,25.0
California,New Jersey,39532.0
California,New Mexico,9433.0
California,New York,70935.0
California,North Carolina,23282.0
California,North Dakota,1.0
California,Ohio,6485.0
California,Oklahoma,2145.0
California,Oregon,73147.0
California,Pennsylvania,20443.0
California,Puerto Rico,11.0
California,Rhode Island,3.0
California,South Carolina,26.0
California,Tennessee,10671.0
California,Texas,179110.0
California,Utah,62940.0
California,Virginia,29085.0
California,Washington,118252.0
California,Wisconsin,1166.0
California,Wyoming,895.0
Colorado,Alabama,700.0
Colorado,Alaska,1088.0
Colorado,Arizona,36066.0
Colorado,Arkansas,1477.0
Colorado,California,113928.0
Colorado,Colorado,26664.0
Colorado,Connecticut,2378.0
Colorado,Florida,43017.0
Colorado,Georgia,21669.0
Colorado,Hawaii,6041.0
Colorado,Idaho,5655.0
Colorado,Illinois,37287.0
Colorado,Indiana,5382.0
Colorado,Iowa,3602.0
Colorado,Kansas,1642.0
Colorado,Kentucky,5132.0
Colorado,Louisiana,6165.0
Colorado,Maryland,7646.0
Colorado,Massachusetts,8184.0
Colorado,Michigan,10013.0
Colorado,Minnesota,18644.0
Colorado,Missouri,19307.0
Colorado,Montana,7968.0
Colorado,Nebraska,7330.0
Colorado,Nevada,29950.0
Colorado,New Jersey,10481.0
Colorado,New Mexico,7049.0
Colorado,New York,18046.0
Colorado,North Carolina,12544.0
Colorado,North Dakota,4380.0
Colorado,Ohio,7128.0
Colorado,Oklahoma,9465.0
Colorado,Oregon,13277.0
Colorado,Pennsylvania,11590.0
Colorado,Puerto Rico,9.0
Colorado,Rhode Island,27.0
Colorado,South Carolina,266.0
Colorado,South Dakota,3071.0
Colorado,Tennessee,9527.0
Colorado,Texas,81834.0
Colorado,Utah,21979.0
Colorado,Virginia,17685.0
Colorado,Washington,22631.0
Colorado,Wisconsin,8366.0
Colorado,Wyoming,4609.0
Connecticut,Arizona,5.0
Connecticut,Arkansas,1.0
Connecticut,California,479.0
Connecticut,Colorado,2356.0
Connecticut,Connecticut,10.0
Connecticut,Florida,22502.0
Connecticut,Georgia,6137.0
Connecticut,Illinois,5402.0
Connecticut,Indiana,1.0
Connecticut,Kentucky,323.0
Connecticut,Louisiana,11.0
Connecticut,Maine,11.0
Connecticut,Maryland,5390.0
Connecticut,Massachusetts,105.0
Connecticut,Michigan,2461.0
Connecticut,Minnesota,2092.0
Connecticut,Missouri,32.0
Connecticut,Nevada,279.0
Connecticut,New Hampshire,10.0
