,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
40,7,5,4,3,5,9,5,0,4,6,5,3,6,7,8,5,4,2,3,1,4,6,9,4,3,3,1,3,7,7,9,3,8,8,13,3,4,6
41,46,33,52,30,23,44,44,25,28,42,57,24,27,42,40,33,32,48,52,32,34,28,52,24,29,34,48,32,23,28,46,25,35,47,51,22,35,50
42,160,151,186,99,106,146,208,106,116,170,228,80,122,156,208,102,135,167,214,80,132,175,211,88,120,166,208,125,128,171,230,118,124,167,234,91,138,166
43,33,16,24,6,9,17,24,12,18,28,25,12,13,20,24,14,16,16,14,11,17,16,25,14,12,20,19,10,18,22,29,16,15,15,23,13,17,19
44,3,2,1,6,7,2,6,2,4,4,4,4,5,3,4,3,0,2,4,1,0,2,4,3,4,1,2,1,1,4,8,3,2,7,4,3,0,1
45,52,36,58,31,31,43,59,26,29,55,57,33,31,51,67,39,49,42,54,38,34,40,60,38,47,49,65,44,41,52,55,28,42,58,55,36,45,58
46,51,38,59,26,29,35,37,26,37,38,47,34,29,39,43,29,33,27,51,29,21,46,61,38,40,47,66,38,28,45,61,15,30,34,72,33,28,44
47,19,12,20,7,8,7,14,9,10,10,15,7,5,16,22,6,5,10,18,4,9,12,17,6,6,8,10,6,12,9,15,15,10,3,16,7,9,12
48,43,23,47,24,28,26,42,18,27,27,54,12,23,45,50,19,28,29,42,22,30,36,49,24,19,35,36,20,19,34,46,13,23,45,49,21,32,25
49,4,4,3,2,3,1,5,4,2,4,2,3,1,6,7,1,4,2,3,2,5,9,6,6,2,3,3,3,4,3,4,0,5,1,6,3,0,3
