,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
18,2014,2,324,48,511,186,3017,412,275,2,1489,769,118,111,980,514,216,128,324,358,56,476,430,731,219,225,452,70,118,161,89,638,200,1475,751,39,854,216,296,989,63,387,21,478,2017,240,18,639,544,24,455,20
19,2014,3,318,49,455,192,2932,418,263,2,1520,777,105,130,1005,463,202,134,308,316,69,434,440,749,219,235,419,74,160,138,97,658,177,1488,745,63,847,197,301,941,52,378,24,510,1981,209,21,636,559,27,424,29
20,2014,4,279,32,491,165,2873,417,274,4,1539,754,103,93,978,508,210,132,316,334,47,392,390,825,236,205,386,64,142,166,96,666,148,1351,721,36,912,187,292,985,77,353,28,456,2065,227,25,637,509,26,396,12
21,2015,1,310,35,482,163,2980,433,255,0,1548,763,104,115,975,508,132,118,328,359,18,389,424,738,198,221,390,84,171,178,103,635,152,1511,736,60,926,181,309,954,77,380,16,526,2070,249,15,668,540,10,436,16
22,2015,2,343,51,491,201,2856,412,249,4,1531,769,131,93,997,440,166,96,328,351,56,324,428,737,267,214,446,75,128,148,101,640,168,1496,804,51,827,169,306,981,71,386,39,518,2081,188,12,621,565,29,470,21
23,2015,3,320,48,490,190,2949,427,266,2,1530,738,102,86,1008,481,189,109,327,360,74,349,480,764,283,228,445,82,135,120,107,623,135,1462,772,56,849,170,321,961,67,353,40,503,2027,189,14,638,563,34,432,18
24,2015,4,345,54,476,203,2946,404,289,4,1534,759,108,98,974,472,205,125,375,359,61,440,478,714,294,237,443,77,146,143,101,679,159,1412,761,53,843,224,320,980,62,350,30,518,2146,230,4,681,563,18,430,9
25,2016,1,289,43,537,158,3029,420,262,3,1588,746,111,124,951,466,195,115,319,352,48,372,411,756,270,196,389,70,146,133,91,647,160,1511,772,50,887,148,307,959,54,404,28,515,2079,253,14,655,551,5,413,14
26,2016,2,363,51,528,182,2893,438,238,3,1557,770,97,123,994,457,178,103,347,349,60,410,493,721,202,223,457,84,151,160,84,668,150,1440,785,45,874,193,316,954,63,376,20,533,2060,229,13,652,562,16,451,12
27,2016,3,345,57,484,168,2941,428,265,5,1618,805,85,104,919,501,182,100,346,375,74,405,453,762,250,254,411,67,138,170,120,650,132,1490,776,59,881,159,315,956,63,383,35,484,2082,240,14,612,522,35,429,18
28,2016,4,349,39,489,196,2949,451,286,8,1511,827,116,112,937,477,191,127,302,331,69,357,476,836,221,217,437,91,151,137,93,628,149,1408,716,63,846,168,277,950,82,344,33,508,2070,239,18,650,541,30,461,17
29,2017,1,321,47,520,184,2963,452,254,5,1534,765,100,100,918,478,175,64,308,352,7,376,434,751,216,244,356,74,137,134,100,623,148,1463,733,57,927,154,325,953,61,356,28,470,2136,212,0,642,561,13,462,14
30,2017,2,332,60,501,166,2974,417,265,2,1576,805,124,117,979,520,201,89,352,312,81,363,498,759,251,218,448,69,133,113,104,636,144,1457,784,57,831,177,311,949,60,391,35,494,2122,223,14,645,545,25,426,12
31,2017,3,381,55,530,170,3015,420,243,2,1576,816,110,116,967,482,221,142,334,350,101,474,442,770,294,242,433,86,148,128,97,683,165,1480,783,69,912,168,279,979,67,353,44,497,2166,235,12,617,537,32,456,18
32,2017,4,332,45,542,186,2907,432,244,2,1554,764,85,118,958,460,202,115,356,364,79,349,425,714,221,181,399,89,130,167,97,627,154,1433,777,47,881,167,298,992,68,396,24,494,2103,225,17,627,588,27,435,19
33,2018,1,288,45,578,142,2916,445,281,5,1569,786,107,91,1002,535,203,117,345,361,49,341,475,771,302,229,390,88,134,111,102,654,139,1472,777,62,917,139,313,944,57,337,35,485,2275,214,15,687,582,14,424,12
34,2018,2,328,57,563,178,3034,426,197,3,1630,793,103,105,969,485,201,55,354,369,67,341,477,838,163,225,400,85,139,142,89,646,159,1422,771,39,922,121,300,934,65,416,26,511,2135,240,24,624,608,26,422,12
35,2018,3,330,56,510,179,2959,437,263,3,1668,824,98,119,899,507,236,109,316,293,81,449,490,788,246,247,423,83,154,151,88,647,160,1446,806,53,875,161,344,1024,86,377,35,503,2208,232,21,635,581,16,465,25
36,2018,4,340,46,539,182,3064,453,270,4,1592,802,108,122,967,531,220,117,367,369,87,400,455,744,246,254,432,72,161,151,129,647,147,1437,766,52,926,163,351,968,61,359,43,533,2176,255,17,664,537,25,448,13
