,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
0,2009,4,349,25,460,159,2754,381,265,7,1414,739,108,97,997,497,162,152,319,354,57,341,457,744,326,224,405,73,125,101,96,648,142,1519,747,46,871,204,271,902,52,330,26,492,1875,196,23,614,498,25,424,17
1,2010,1,310,37,503,159,2794,375,242,5,1445,748,84,96,954,480,143,117,304,347,63,286,416,734,239,217,437,66,151,87,101,633,155,1489,687,50,793,166,295,941,80,287,14,467,1897,224,13,591,535,9,440,15
2,2010,2,339,37,470,180,2925,388,259,3,1426,745,98,95,945,448,142,123,303,315,30,377,452,778,356,222,437,66,147,90,97,681,154,1444,717,56,847,162,297,947,75,337,25,473,1945,208,16,580,491,11,410,14
3,2010,3,341,54,473,174,2822,388,244,4,1352,766,107,101,950,480,139,100,322,352,79,372,420,751,295,228,437,76,150,111,93,665,153,1595,730,54,865,211,316,981,67,369,21,460,1917,216,17,627,501,31,441,12
4,2010,4,303,36,462,168,2941,405,289,5,1431,751,105,79,985,462,117,86,332,319,30,318,382,713,270,233,424,67,163,80,96,569,134,1469,732,55,896,163,276,966,58,324,11,468,1898,216,9,626,570,10,425,13
5,2011,1,337,21,486,171,2894,425,230,4,1353,710,125,98,980,493,156,91,342,336,53,331,399,768,259,239,398,68,141,79,102,615,183,1431,768,58,894,160,298,1010,79,306,32,489,1932,226,20,603,505,10,423,17
6,2011,2,333,45,482,175,2918,413,274,0,1377,760,93,90,1037,513,180,158,334,331,54,376,471,807,333,207,427,66,134,55,87,636,141,1521,720,54,911,143,305,936,67,354,34,480,1952,203,11,613,521,11,429,37
7,2011,3,322,42,454,171,2922,364,279,2,1482,666,108,102,955,519,164,128,331,352,65,413,482,757,306,226,450,84,129,124,112,635,174,1509,737,49,878,208,321,1005,75,340,28,476,1957,203,13,685,538,40,444,21
8,2011,4,333,44,472,194,2775,390,224,8,1428,715,102,104,929,497,138,96,313,363,51,296,451,697,227,246,397,65,148,132,74,594,170,1458,708,52,920,210,300,965,80,328,30,470,1912,208,19,618,519,27,441,14
9,2012,1,358,55,510,197,2898,379,261,0,1478,678,113,91,958,498,157,146,335,355,61,299,465,758,269,207,415,66,136,128,109,643,156,1463,710,62,900,132,314,928,40,339,32,457,1957,191,10,647,518,19,458,12
10,2012,2,312,45,521,185,2862,436,248,4,1479,767,99,87,952,499,165,109,343,344,57,315,398,746,255,234,437,80,151,109,89,647,144,1427,721,46,929,210,317,947,66,355,34,542,2016,211,22,634,509,18,417,13
11,2012,3,328,47,500,187,2836,404,263,4,1480,754,108,107,952,465,152,149,325,372,75,407,455,712,324,225,443,72,135,154,99,645,154,1515,715,50,893,166,293,989,63,337,28,473,1997,212,21,615,506,9,406,26
12,2012,4,373,45,484,158,2820,423,243,4,1394,737,122,102,998,474,187,138,322,327,47,339,452,736,268,220,445,71,139,140,91,631,139,1535,722,57,873,140,298,952,59,374,36,510,1917,240,17,604,510,15,407,15
13,2013,1,315,38,503,133,2953,407,217,5,1459,760,98,72,941,495,166,93,315,330,37,309,419,760,193,229,390,96,139,115,96,613,155,1521,749,57,874,111,286,949,65,348,20,456,1985,210,17,624,533,17,416,11
14,2013,2,321,43,515,201,2894,374,230,2,1471,774,103,101,937,496,165,95,317,365,67,354,422,708,240,234,454,70,123,113,100,594,176,1473,707,41,861,168,317,975,60,345,30,488,2032,220,12,602,523,12,411,16
15,2013,3,322,58,459,168,2919,413,283,2,1496,748,98,107,914,530,199,127,331,335,71,438,474,693,277,225,440,69,127,161,94,655,131,1438,735,53,901,200,271,903,85,381,33,500,1971,223,36,630,551,18,445,18
16,2013,4,271,45,481,153,2924,395,245,3,1501,732,104,121,940,496,196,116,296,355,49,419,468,795,220,207,427,71,130,147,116,590,135,1446,711,59,877,198,280,943,69,347,24,488,1987,225,19,603,578,18,415,18
17,2014,1,314,40,468,201,2937,406,239,3,1485,723,94,98,946,456,175,98,305,359,31,254,362,745,150,184,396,64,144,126,93,634,156,1501,719,53,815,158,323,1004,52,332,10,488,1955,179,9,626,543,18,442,10
