,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
27,2016,3,361,64,514,229,2839,381,275,9,1566,733,109,120,1039,515,234,222,330,351,99,409,500,752,404,232,453,85,161,216,107,675,154,1518,817,58,838,312,301,915,76,371,59,513,2091,230,37,623,543,147,449,48
28,2016,4,331,64,521,236,2888,400,264,5,1599,787,106,129,973,520,213,219,352,342,117,448,513,727,419,245,458,90,132,250,107,657,179,1476,785,50,871,304,323,989,81,336,69,492,2112,233,51,666,573,128,430,30
29,2017,1,345,49,537,237,3025,446,293,5,1627,794,109,131,965,533,270,221,352,368,96,492,497,747,445,220,475,72,162,225,88,675,149,1555,830,61,886,300,278,952,82,365,53,491,2074,226,46,624,536,129,458,50
30,2017,2,313,51,542,220,2937,421,265,9,1538,785,99,154,985,456,258,234,344,357,97,466,502,736,410,244,460,59,146,212,90,669,172,1487,788,69,928,281,351,978,91,368,64,492,2120,247,52,666,591,138,459,54
31,2017,3,383,57,515,226,3003,427,266,4,1581,787,103,136,956,503,217,218,322,339,104,490,514,771,431,221,447,87,134,225,93,667,146,1454,786,45,861,292,350,966,72,355,66,546,2066,240,38,647,573,135,387,41
32,2017,4,373,56,577,206,2958,418,261,10,1568,775,125,123,950,510,236,198,327,399,102,503,507,770,397,238,471,83,150,230,108,689,158,1468,781,51,855,306,308,951,68,346,70,475,2131,201,55,686,554,130,442,47
33,2018,1,404,51,515,249,2945,416,262,9,1635,824,105,115,936,496,256,213,357,382,101,467,555,787,434,229,414,66,170,217,92,665,153,1502,764,51,891,292,332,1032,74,424,70,506,2205,239,51,662,562,139,396,58
34,2018,2,413,48,529,227,3018,417,246,6,1606,789,101,138,969,525,236,237,341,355,112,467,519,768,402,238,490,80,138,245,108,714,156,1482,770,57,895,303,294,937,75,374,59,517,2149,221,47,593,573,143,445,46
35,2018,3,342,63,536,227,3090,459,269,8,1740,812,102,144,950,514,248,210,324,340,103,458,534,788,415,229,475,80,160,224,122,679,158,1452,783,71,878,261,331,936,87,350,72,502,2163,253,41,646,567,155,482,53
36,2018,4,398,46,561,234,2891,460,274,5,1593,802,103,130,937,482,219,223,332,336,99,458,530,759,454,223,435,89,134,210,105,675,180,1472,775,58,900,315,337,978,78,373,55,537,2194,255,33,599,581,141,447,45
